channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
-26.0,-11.0,-28.0,0.0,-28.0,-16.0,-12.0,3.0,-4.0,-1.0,0.0
4.0,6.0,11.0,0.0,-26.0,-13.0,-11.0,0.0,17.0,42.0,0.0
6.0,2.0,46.0,-2.0,-20.0,-14.0,4.0,-2.0,34.0,60.0,0.0
-17.0,-14.0,110.0,-5.0,-21.0,-9.0,-13.0,7.0,32.0,39.0,0.0
-8.0,-5.0,201.0,-4.0,-29.0,-8.0,-22.0,3.0,55.0,31.0,0.0
12.0,13.0,203.0,-3.0,-14.0,-2.0,-19.0,4.0,78.0,34.0,0.0
7.0,10.0,90.0,1.0,-5.0,0.0,-12.0,10.0,89.0,31.0,0.0
-7.0,10.0,20.0,8.0,4.0,-4.0,5.0,8.0,83.0,26.0,0.0
-10.0,14.0,-62.0,10.0,11.0,2.0,24.0,7.0,69.0,31.0,0.0
-19.0,17.0,-160.0,7.0,23.0,7.0,41.0,7.0,28.0,24.0,0.0
-39.0,27.0,-238.0,13.0,20.0,-3.0,51.0,13.0,-13.0,7.0,0.0
-33.0,20.0,-299.0,13.0,19.0,-10.0,37.0,3.0,-43.0,8.0,0.0
0.0,11.0,-366.0,9.0,28.0,-3.0,21.0,-4.0,-41.0,32.0,0.0
19.0,-1.0,-336.0,7.0,16.0,-15.0,6.0,-8.0,-16.0,52.0,0.0
5.0,-12.0,-257.0,13.0,3.0,-22.0,22.0,-17.0,3.0,46.0,0.0
-1.0,-8.0,-144.0,17.0,9.0,-17.0,26.0,-12.0,19.0,42.0,0.0
-6.0,-7.0,-32.0,7.0,20.0,-5.0,34.0,3.0,36.0,34.0,0.0
-16.0,1.0,43.0,2.0,13.0,2.0,52.0,4.0,43.0,28.0,0.0
-20.0,15.0,121.0,18.0,20.0,7.0,39.0,-2.0,40.0,17.0,0.0
-31.0,32.0,208.0,19.0,21.0,7.0,6.0,-8.0,23.0,0.0,0.0
-18.0,28.0,253.0,8.0,11.0,9.0,-3.0,-5.0,5.0,-14.0,0.0
-16.0,20.0,247.0,-1.0,16.0,0.0,2.0,-13.0,0.0,-17.0,0.0
-1.0,14.0,202.0,3.0,27.0,-12.0,-7.0,-19.0,4.0,-9.0,0.0
10.0,4.0,89.0,11.0,23.0,-13.0,-15.0,-14.0,0.0,-10.0,0.0
5.0,-5.0,-28.0,3.0,10.0,-19.0,-13.0,-7.0,-3.0,-9.0,0.0
2.0,-18.0,-110.0,5.0,7.0,-16.0,-14.0,-16.0,-10.0,-11.0,0.0
8.0,-32.0,-179.0,-7.0,2.0,-10.0,-25.0,-25.0,-15.0,-20.0,0.0
-3.0,-37.0,-282.0,1.0,3.0,-10.0,-26.0,-22.0,-12.0,-20.0,0.0
-5.0,-24.0,-394.0,5.0,8.0,1.0,-7.0,-21.0,2.0,10.0,0.0
10.0,-10.0,-392.0,5.0,13.0,-4.0,1.0,-21.0,8.0,33.0,0.0
8.0,-2.0,-300.0,4.0,16.0,7.0,-6.0,-15.0,15.0,33.0,0.0
-10.0,-3.0,-185.0,2.0,21.0,10.0,-7.0,-15.0,13.0,40.0,0.0
-22.0,-12.0,-114.0,2.0,17.0,8.0,-13.0,-12.0,0.0,40.0,0.0
-38.0,-17.0,-68.0,2.0,9.0,15.0,0.0,-18.0,5.0,18.0,0.0
-49.0,-21.0,-20.0,-4.0,3.0,17.0,15.0,-16.0,23.0,0.0,0.0
-52.0,-20.0,72.0,-2.0,-1.0,13.0,34.0,-5.0,27.0,-15.0,0.0
-60.0,-28.0,138.0,-6.0,-10.0,10.0,24.0,7.0,33.0,-32.0,0.0
-56.0,-26.0,162.0,-12.0,-22.0,14.0,20.0,16.0,26.0,-32.0,0.0
-4.0,8.0,168.0,-3.0,-18.0,21.0,51.0,9.0,15.0,28.0,0.0
23.0,17.0,122.0,-2.0,-10.0,21.0,51.0,12.0,10.0,57.0,0.0
23.0,9.0,-4.0,-11.0,-9.0,13.0,35.0,13.0,35.0,48.0,0.0
13.0,-6.0,-101.0,-6.0,-11.0,9.0,48.0,15.0,47.0,29.0,0.0
-16.0,-28.0,-201.0,-1.0,-14.0,12.0,36.0,21.0,28.0,6.0,0.0
-2.0,-25.0,-271.0,0.0,-19.0,15.0,12.0,16.0,25.0,7.0,0.0
19.0,-6.0,-299.0,2.0,-17.0,9.0,16.0,17.0,3.0,28.0,0.0
9.0,-1.0,-327.0,10.0,-9.0,5.0,-4.0,19.0,-19.0,35.0,0.0
-7.0,2.0,-322.0,5.0,0.0,6.0,-31.0,25.0,-30.0,26.0,0.0
-4.0,13.0,-284.0,5.0,-4.0,3.0,-23.0,23.0,-44.0,23.0,0.0
17.0,37.0,-205.0,4.0,-12.0,2.0,-18.0,27.0,-34.0,19.0,0.0
13.0,33.0,-179.0,-10.0,-1.0,4.0,0.0,14.0,-34.0,7.0,0.0
-7.0,13.0,-71.0,-7.0,-3.0,6.0,0.0,11.0,-24.0,-7.0,0.0
-8.0,0.0,17.0,-6.0,-3.0,11.0,3.0,22.0,-22.0,-19.0,0.0
-11.0,-10.0,49.0,4.0,0.0,10.0,16.0,25.0,-20.0,-32.0,0.0
-18.0,-9.0,108.0,9.0,10.0,11.0,34.0,24.0,-18.0,-33.0,0.0
-3.0,3.0,156.0,7.0,4.0,6.0,19.0,13.0,-14.0,-18.0,0.0
18.0,15.0,165.0,2.0,2.0,3.0,-13.0,11.0,-3.0,-11.0,0.0
28.0,24.0,92.0,-2.0,1.0,9.0,-16.0,13.0,-10.0,-9.0,0.0
31.0,20.0,-14.0,-3.0,-5.0,11.0,-6.0,11.0,-13.0,-4.0,0.0
44.0,16.0,-116.0,-10.0,-6.0,20.0,-9.0,2.0,-3.0,8.0,0.0
51.0,22.0,-177.0,-15.0,-13.0,16.0,-20.0,-5.0,0.0,17.0,0.0
32.0,14.0,-241.0,-20.0,-12.0,7.0,-31.0,-3.0,-18.0,12.0,0.0
23.0,1.0,-279.0,-14.0,-6.0,4.0,-31.0,-1.0,-38.0,-9.0,0.0
15.0,-4.0,-306.0,-28.0,0.0,3.0,-19.0,-1.0,-49.0,-16.0,0.0
9.0,-9.0,-298.0,-24.0,-5.0,13.0,7.0,-12.0,-43.0,-13.0,0.0
12.0,-14.0,-264.0,-18.0,-16.0,6.0,27.0,-13.0,-27.0,-7.0,0.0
18.0,-15.0,-233.0,-8.0,-6.0,3.0,11.0,-14.0,-21.0,0.0,0.0
0.0,-19.0,-131.0,4.0,10.0,4.0,5.0,-18.0,-12.0,-10.0,0.0
-47.0,-37.0,-28.0,8.0,16.0,17.0,0.0,-9.0,7.0,-40.0,0.0
-65.0,-47.0,33.0,9.0,16.0,26.0,8.0,-7.0,22.0,-63.0,0.0
-53.0,-26.0,100.0,7.0,0.0,12.0,5.0,11.0,35.0,-57.0,0.0
-52.0,-23.0,107.0,16.0,-20.0,9.0,6.0,18.0,37.0,-44.0,0.0
-46.0,-25.0,120.0,13.0,-18.0,0.0,7.0,5.0,26.0,-34.0,0.0
-18.0,-1.0,113.0,-6.0,-9.0,-5.0,4.0,-2.0,21.0,-7.0,0.0
-19.0,-6.0,13.0,0.0,-2.0,-4.0,2.0,-4.0,-11.0,-14.0,0.0
-29.0,-9.0,-86.0,1.0,0.0,-9.0,4.0,-8.0,-33.0,-24.0,0.0
-21.0,5.0,-192.0,2.0,0.0,-1.0,5.0,-10.0,-34.0,-29.0,0.0
-23.0,15.0,-209.0,6.0,0.0,5.0,2.0,-8.0,-46.0,-37.0,0.0
-44.0,5.0,-258.0,-9.0,-1.0,1.0,-11.0,-21.0,-42.0,-52.0,0.0
