channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
-17.0,6.0,18.0,-8.0,0.0,-21.0,-8.0,-10.0,-17.0,-36.0,0.0
-44.0,-14.0,-22.0,-19.0,-26.0,-33.0,-13.0,-16.0,-10.0,-42.0,0.0
-84.0,-28.0,-50.0,-37.0,-49.0,-40.0,-20.0,-39.0,-6.0,-73.0,0.0
-128.0,-53.0,-61.0,-44.0,-72.0,-45.0,-4.0,-59.0,-30.0,-100.0,0.0
-140.0,-55.0,-67.0,-46.0,-77.0,-48.0,0.0,-59.0,-56.0,-104.0,0.0
-122.0,-52.0,-49.0,-33.0,-67.0,-37.0,-2.0,-53.0,-48.0,-91.0,0.0
-105.0,-37.0,-18.0,-19.0,-43.0,-31.0,-7.0,-41.0,-41.0,-66.0,0.0
-66.0,-12.0,0.0,-2.0,-12.0,-13.0,-10.0,-26.0,-17.0,-30.0,0.0
-30.0,9.0,20.0,31.0,29.0,10.0,-17.0,-6.0,-16.0,-11.0,0.0
2.0,29.0,58.0,54.0,54.0,27.0,-17.0,2.0,-26.0,-8.0,0.0
38.0,45.0,74.0,61.0,77.0,36.0,-8.0,15.0,-4.0,11.0,0.0
74.0,65.0,85.0,85.0,83.0,48.0,-11.0,36.0,37.0,79.0,0.0
120.0,63.0,93.0,96.0,86.0,61.0,-17.0,53.0,70.0,126.0,0.0
133.0,52.0,70.0,78.0,79.0,53.0,-17.0,51.0,63.0,151.0,0.0
101.0,32.0,42.0,51.0,61.0,43.0,-22.0,24.0,48.0,155.0,0.0
62.0,11.0,17.0,31.0,39.0,23.0,-27.0,-8.0,26.0,121.0,0.0
37.0,-21.0,16.0,3.0,0.0,-4.0,-16.0,-16.0,14.0,89.0,0.0
3.0,-44.0,15.0,-24.0,-16.0,-23.0,-1.0,-25.0,19.0,30.0,0.0
-36.0,-57.0,-7.0,-32.0,-20.0,-34.0,10.0,-27.0,2.0,-54.0,0.0
-63.0,-76.0,-29.0,-50.0,-33.0,-48.0,22.0,-22.0,-21.0,-121.0,0.0
-99.0,-88.0,-56.0,-72.0,-50.0,-48.0,32.0,-24.0,-29.0,-159.0,0.0
-109.0,-90.0,-52.0,-64.0,-45.0,-43.0,40.0,-17.0,-40.0,-156.0,0.0
-106.0,-82.0,-32.0,-33.0,-26.0,-31.0,49.0,-5.0,-52.0,-151.0,0.0
-99.0,-68.0,-23.0,-20.0,-22.0,-25.0,40.0,-10.0,-44.0,-141.0,0.0
-75.0,-47.0,-24.0,-18.0,-4.0,-15.0,15.0,-2.0,-18.0,-113.0,0.0
-37.0,-22.0,-6.0,-7.0,16.0,5.0,6.0,17.0,19.0,-51.0,0.0
10.0,15.0,15.0,16.0,25.0,14.0,17.0,28.0,55.0,5.0,0.0
54.0,54.0,39.0,39.0,48.0,39.0,23.0,41.0,84.0,49.0,0.0
85.0,72.0,59.0,62.0,78.0,64.0,27.0,58.0,81.0,94.0,0.0
82.0,80.0,86.0,62.0,94.0,71.0,28.0,62.0,80.0,152.0,0.0
72.0,79.0,66.0,61.0,76.0,71.0,17.0,52.0,68.0,174.0,0.0
52.0,56.0,53.0,35.0,49.0,50.0,5.0,23.0,10.0,91.0,0.0
-7.0,17.0,39.0,-15.0,20.0,8.0,-18.0,-18.0,-47.0,-75.0,0.0
-46.0,-24.0,-10.0,-46.0,-12.0,-14.0,-29.0,-41.0,-39.0,-49.0,0.0
-56.0,-53.0,-47.0,-66.0,-39.0,-33.0,-26.0,-48.0,-28.0,51.0,0.0
-88.0,-65.0,-60.0,-70.0,-54.0,-55.0,-29.0,-52.0,-54.0,26.0,0.0
-111.0,-83.0,-72.0,-80.0,-75.0,-69.0,-25.0,-57.0,-62.0,-25.0,0.0
-124.0,-92.0,-80.0,-91.0,-82.0,-67.0,-18.0,-54.0,-51.0,-39.0,0.0
-111.0,-77.0,-81.0,-94.0,-80.0,-57.0,-19.0,-40.0,-36.0,-30.0,0.0
-85.0,-74.0,-76.0,-84.0,-70.0,-43.0,-7.0,-27.0,-40.0,-26.0,0.0
-49.0,-62.0,-48.0,-62.0,-49.0,-19.0,-4.0,-5.0,-22.0,-10.0,0.0
-9.0,-23.0,15.0,-31.0,-15.0,5.0,-6.0,6.0,-2.0,22.0,0.0
23.0,20.0,52.0,-1.0,17.0,28.0,4.0,29.0,7.0,46.0,0.0
64.0,43.0,65.0,21.0,33.0,49.0,-5.0,38.0,17.0,80.0,0.0
84.0,64.0,64.0,38.0,45.0,55.0,-13.0,45.0,42.0,101.0,0.0
102.0,80.0,54.0,53.0,64.0,72.0,-16.0,57.0,60.0,111.0,0.0
97.0,75.0,44.0,47.0,69.0,79.0,-18.0,57.0,64.0,98.0,0.0
76.0,53.0,27.0,24.0,65.0,70.0,-13.0,44.0,48.0,76.0,0.0
51.0,38.0,20.0,9.0,49.0,44.0,-16.0,23.0,35.0,49.0,0.0
19.0,11.0,20.0,-6.0,33.0,21.0,-10.0,-2.0,21.0,16.0,0.0
-8.0,-15.0,-6.0,-14.0,1.0,4.0,-13.0,-14.0,2.0,-11.0,0.0
-20.0,-35.0,-42.0,-11.0,-24.0,-9.0,-8.0,-13.0,-6.0,-24.0,0.0
-38.0,-54.0,-68.0,-23.0,-50.0,-34.0,2.0,-21.0,-11.0,-47.0,0.0
-50.0,-70.0,-81.0,-45.0,-74.0,-59.0,4.0,-38.0,-16.0,-94.0,0.0
-59.0,-72.0,-62.0,-48.0,-77.0,-58.0,3.0,-40.0,-11.0,-89.0,0.0
-55.0,-51.0,-56.0,-32.0,-68.0,-39.0,12.0,-26.0,10.0,-17.0,0.0
-25.0,-28.0,-45.0,-26.0,-66.0,-33.0,16.0,-16.0,26.0,114.0,0.0
7.0,-11.0,-20.0,-20.0,-44.0,-10.0,22.0,8.0,39.0,194.0,0.0
19.0,6.0,20.0,7.0,-14.0,4.0,12.0,16.0,30.0,212.0,0.0
22.0,26.0,46.0,26.0,14.0,17.0,10.0,18.0,2.0,149.0,0.0
40.0,48.0,55.0,39.0,35.0,31.0,6.0,26.0,-39.0,10.0,0.0
82.0,69.0,80.0,52.0,55.0,40.0,-13.0,12.0,-72.0,-138.0,0.0
111.0,95.0,87.0,64.0,61.0,42.0,-19.0,12.0,-45.0,-170.0,0.0
106.0,114.0,94.0,67.0,60.0,42.0,-15.0,18.0,-15.0,-142.0,0.0
58.0,85.0,74.0,51.0,51.0,35.0,-11.0,9.0,-21.0,-190.0,0.0
6.0,10.0,35.0,30.0,17.0,19.0,-17.0,-7.0,-16.0,-199.0,0.0
-4.0,-30.0,1.0,-5.0,-16.0,-17.0,-19.0,-10.0,-5.0,-72.0,0.0
-8.0,-47.0,-30.0,-53.0,-47.0,-39.0,-14.0,-24.0,-7.0,23.0,0.0
-29.0,-54.0,-55.0,-84.0,-83.0,-56.0,-10.0,-47.0,-10.0,48.0,0.0
-45.0,-63.0,-65.0,-111.0,-106.0,-76.0,-14.0,-71.0,-18.0,20.0,0.0
-75.0,-64.0,-82.0,-110.0,-116.0,-92.0,-20.0,-75.0,-41.0,-33.0,0.0
