channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
-7.0,-20.0,-9.0,41.0,-33.0,-33.0,-17.0,0.0,-26.0,-1.0,0.0
-14.0,-24.0,-3.0,87.0,-6.0,-33.0,-22.0,-14.0,-32.0,-9.0,0.0
-24.0,-12.0,74.0,138.0,3.0,-24.0,-30.0,-15.0,-23.0,-11.0,0.0
-30.0,-14.0,150.0,104.0,15.0,-11.0,-17.0,-12.0,-19.0,0.0,0.0
-42.0,-31.0,160.0,16.0,25.0,5.0,-15.0,-11.0,-1.0,-11.0,0.0
-35.0,-38.0,46.0,-59.0,21.0,9.0,-7.0,8.0,1.0,-12.0,0.0
-24.0,-28.0,-108.0,-83.0,40.0,23.0,14.0,28.0,17.0,-1.0,0.0
-1.0,33.0,-71.0,-81.0,41.0,22.0,4.0,15.0,6.0,-1.0,0.0
8.0,55.0,-48.0,8.0,39.0,22.0,-14.0,6.0,0.0,-1.0,0.0
-3.0,7.0,-99.0,137.0,54.0,25.0,-12.0,0.0,-11.0,-11.0,0.0
-6.0,-21.0,-106.0,178.0,47.0,19.0,-7.0,4.0,-27.0,-9.0,0.0
-18.0,-26.0,-59.0,160.0,52.0,17.0,-13.0,9.0,-28.0,-22.0,0.0
-45.0,-34.0,2.0,128.0,54.0,6.0,-27.0,-8.0,-31.0,-50.0,0.0
-54.0,-46.0,17.0,59.0,41.0,0.0,-15.0,-20.0,-34.0,-59.0,0.0
-18.0,-11.0,72.0,15.0,-10.0,-32.0,-30.0,-10.0,-25.0,-30.0,0.0
36.0,71.0,124.0,-69.0,-79.0,-60.0,-38.0,2.0,3.0,6.0,0.0
83.0,122.0,101.0,-183.0,-120.0,-71.0,-18.0,22.0,35.0,33.0,0.0
62.0,76.0,42.0,-163.0,-124.0,-61.0,-15.0,35.0,38.0,34.0,0.0
14.0,21.0,24.0,-67.0,-59.0,-36.0,-22.0,9.0,5.0,-4.0,0.0
-11.0,8.0,52.0,6.0,46.0,-25.0,-34.0,-17.0,-22.0,-41.0,0.0
-37.0,3.0,99.0,73.0,119.0,-35.0,-48.0,-56.0,-59.0,-63.0,0.0
-55.0,10.0,165.0,156.0,150.0,-37.0,-62.0,-74.0,-79.0,-79.0,0.0
-55.0,6.0,140.0,184.0,142.0,-14.0,-60.0,-69.0,-72.0,-78.0,0.0
-40.0,1.0,51.0,115.0,98.0,5.0,-30.0,-41.0,-46.0,-54.0,0.0
4.0,17.0,-8.0,-43.0,-7.0,11.0,14.0,4.0,5.0,-3.0,0.0
44.0,32.0,-30.0,-198.0,-92.0,14.0,46.0,32.0,51.0,49.0,0.0
31.0,29.0,-23.0,-196.0,-100.0,23.0,54.0,47.0,64.0,61.0,0.0
30.0,15.0,-71.0,-217.0,-107.0,23.0,49.0,46.0,67.0,55.0,0.0
14.0,-2.0,-103.0,-218.0,-93.0,13.0,19.0,16.0,35.0,20.0,0.0
5.0,-15.0,-77.0,-142.0,-75.0,-4.0,-6.0,-14.0,-5.0,0.0,0.0
3.0,-34.0,-39.0,-70.0,-46.0,-12.0,-10.0,-13.0,-8.0,-8.0,0.0
-27.0,-25.0,-16.0,-40.0,16.0,-36.0,-39.0,-27.0,-28.0,-34.0,0.0
-41.0,17.0,11.0,0.0,85.0,-82.0,-74.0,-40.0,-32.0,-28.0,0.0
-9.0,42.0,22.0,68.0,111.0,-93.0,-46.0,-7.0,1.0,7.0,0.0
15.0,23.0,-54.0,195.0,142.0,-1.0,23.0,46.0,53.0,53.0,0.0
42.0,21.0,-147.0,189.0,105.0,77.0,84.0,90.0,93.0,77.0,0.0
60.0,52.0,-109.0,5.0,-52.0,39.0,82.0,98.0,94.0,79.0,0.0
76.0,94.0,-32.0,-110.0,-123.0,2.0,84.0,99.0,98.0,91.0,0.0
67.0,80.0,-25.0,-153.0,-66.0,18.0,77.0,82.0,73.0,62.0,0.0
