channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
20.0,19.0,7.0,17.0,37.0,-6.0,-10.0,3.0,-14.0,6.0,0.0
11.0,18.0,10.0,14.0,41.0,0.0,-20.0,0.0,-13.0,-3.0,0.0
-1.0,17.0,12.0,0.0,39.0,10.0,-12.0,2.0,-5.0,-4.0,0.0
-4.0,12.0,12.0,-8.0,27.0,11.0,-7.0,5.0,-13.0,-5.0,0.0
-16.0,5.0,4.0,-7.0,33.0,7.0,-2.0,9.0,-23.0,-17.0,0.0
-22.0,0.0,-18.0,-18.0,32.0,17.0,-10.0,13.0,-16.0,-9.0,0.0
-15.0,0.0,-17.0,-8.0,27.0,22.0,-7.0,9.0,-2.0,-3.0,0.0
1.0,-1.0,-1.0,-1.0,17.0,5.0,9.0,14.0,0.0,-12.0,0.0
4.0,-8.0,0.0,21.0,23.0,1.0,1.0,15.0,5.0,-5.0,0.0
6.0,-20.0,-16.0,21.0,22.0,0.0,3.0,16.0,9.0,0.0,0.0
16.0,-10.0,-24.0,12.0,-1.0,-5.0,15.0,17.0,3.0,7.0,0.0
14.0,5.0,0.0,4.0,-12.0,-21.0,24.0,5.0,9.0,6.0,0.0
19.0,9.0,11.0,13.0,-14.0,-26.0,20.0,3.0,14.0,4.0,0.0
20.0,10.0,21.0,25.0,-15.0,-28.0,9.0,11.0,-6.0,-4.0,0.0
4.0,0.0,21.0,20.0,-7.0,-20.0,19.0,28.0,-3.0,-22.0,0.0
-1.0,0.0,17.0,4.0,-8.0,-9.0,23.0,15.0,-3.0,-14.0,0.0
3.0,-1.0,9.0,2.0,-16.0,-9.0,19.0,10.0,-5.0,-11.0,0.0
4.0,-4.0,10.0,0.0,-12.0,2.0,15.0,7.0,-4.0,-16.0,0.0
0.0,-1.0,12.0,-3.0,-8.0,0.0,7.0,12.0,-2.0,-19.0,0.0
0.0,6.0,12.0,10.0,-6.0,-1.0,-1.0,10.0,0.0,-17.0,0.0
-1.0,0.0,7.0,5.0,13.0,2.0,3.0,1.0,4.0,-4.0,0.0
-5.0,-19.0,0.0,9.0,18.0,3.0,16.0,-2.0,11.0,10.0,0.0
-25.0,-37.0,-9.0,9.0,9.0,6.0,18.0,1.0,10.0,-1.0,0.0
-39.0,-47.0,-11.0,10.0,13.0,5.0,27.0,17.0,9.0,-10.0,0.0
-36.0,-38.0,-20.0,15.0,26.0,11.0,30.0,36.0,10.0,-18.0,0.0
-31.0,-29.0,-8.0,8.0,17.0,6.0,29.0,27.0,6.0,-27.0,0.0
-31.0,-33.0,-7.0,1.0,0.0,-12.0,19.0,18.0,5.0,1.0,0.0
-3.0,-14.0,-22.0,-9.0,7.0,-35.0,17.0,12.0,3.0,13.0,0.0
13.0,20.0,-16.0,4.0,10.0,-32.0,21.0,7.0,-17.0,-15.0,0.0
4.0,28.0,7.0,23.0,10.0,-12.0,29.0,0.0,-20.0,-8.0,0.0
-1.0,26.0,5.0,28.0,13.0,-9.0,11.0,-16.0,-14.0,8.0,0.0
2.0,0.0,7.0,17.0,10.0,-25.0,-11.0,-17.0,-8.0,30.0,0.0
11.0,-3.0,6.0,11.0,-2.0,-25.0,-28.0,-13.0,-4.0,23.0,0.0
21.0,2.0,3.0,2.0,-12.0,-26.0,-27.0,-9.0,-8.0,-8.0,0.0
28.0,12.0,11.0,7.0,-10.0,-20.0,-30.0,-15.0,-9.0,-24.0,0.0
28.0,34.0,12.0,4.0,6.0,-17.0,-32.0,-19.0,-25.0,-59.0,0.0
