channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
19.0,39.0,-15.0,-11.0,-14.0,-10.0,3.0,79.0,87.0,78.0,0.0
23.0,62.0,-5.0,-7.0,-12.0,0.0,14.0,66.0,199.0,91.0,0.0
31.0,53.0,2.0,-12.0,2.0,10.0,25.0,20.0,244.0,98.0,0.0
16.0,7.0,-8.0,-19.0,14.0,11.0,9.0,-57.0,24.0,90.0,0.0
-5.0,-17.0,-8.0,-14.0,19.0,16.0,13.0,-102.0,-160.0,75.0,0.0
-22.0,-17.0,1.0,-12.0,28.0,13.0,27.0,-85.0,-123.0,44.0,0.0
-16.0,-10.0,-8.0,-8.0,26.0,4.0,21.0,-68.0,-48.0,16.0,0.0
-11.0,-9.0,4.0,-6.0,31.0,5.0,3.0,-51.0,73.0,-16.0,0.0
-16.0,-8.0,5.0,-7.0,42.0,5.0,5.0,-65.0,173.0,-48.0,0.0
-21.0,1.0,-2.0,-1.0,37.0,-1.0,-13.0,-99.0,-4.0,-88.0,0.0
-14.0,2.0,-16.0,-11.0,22.0,-8.0,-28.0,-117.0,-262.0,-85.0,0.0
-8.0,12.0,-10.0,-5.0,25.0,-7.0,-26.0,-76.0,-207.0,-52.0,0.0
-2.0,11.0,-7.0,9.0,18.0,-6.0,-27.0,-46.0,-78.0,-32.0,0.0
0.0,8.0,-6.0,13.0,12.0,-20.0,-24.0,-42.0,-30.0,-12.0,0.0
7.0,17.0,6.0,6.0,6.0,-18.0,-24.0,-32.0,33.0,8.0,0.0
17.0,22.0,8.0,-10.0,-5.0,-19.0,-23.0,-15.0,59.0,6.0,0.0
17.0,34.0,-4.0,-23.0,-4.0,-10.0,-11.0,-2.0,36.0,-11.0,0.0
16.0,33.0,-10.0,-24.0,4.0,-6.0,10.0,10.0,-3.0,-11.0,0.0
12.0,35.0,2.0,-23.0,-6.0,-9.0,25.0,26.0,-19.0,2.0,0.0
14.0,21.0,4.0,-22.0,-11.0,-11.0,37.0,10.0,-30.0,12.0,0.0
10.0,10.0,-2.0,-13.0,-18.0,-11.0,43.0,7.0,-50.0,-20.0,0.0
-5.0,0.0,-6.0,-13.0,-15.0,-6.0,51.0,19.0,-63.0,-55.0,0.0
-20.0,-2.0,-11.0,-13.0,-15.0,-4.0,58.0,7.0,-70.0,-75.0,0.0
-23.0,7.0,-13.0,-15.0,-17.0,-7.0,54.0,-19.0,-63.0,-78.0,0.0
-13.0,15.0,-12.0,-3.0,-13.0,-13.0,53.0,-23.0,25.0,-47.0,0.0
-7.0,1.0,-15.0,2.0,-28.0,-14.0,24.0,-17.0,126.0,15.0,0.0
-16.0,-14.0,-17.0,-5.0,-39.0,-27.0,-1.0,-21.0,35.0,21.0,0.0
-20.0,-14.0,-10.0,-6.0,-37.0,-16.0,-11.0,-30.0,-90.0,5.0,0.0
