channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,true_locs
34.0,391.0,227.0,-24.0,-83.0,-61.0,-59.0,-111.0,-148.0,-129.0,0.0
40.0,569.0,255.0,-2.0,-50.0,-23.0,0.0,-60.0,-85.0,-86.0,0.0
10.0,394.0,173.0,22.0,-28.0,10.0,27.0,-31.0,-84.0,-70.0,0.0
-18.0,257.0,136.0,4.0,-21.0,-3.0,44.0,-34.0,-105.0,-78.0,0.0
-38.0,149.0,85.0,-17.0,-24.0,-7.0,55.0,-28.0,-84.0,-65.0,0.0
-49.0,35.0,30.0,-15.0,-7.0,23.0,57.0,-4.0,-32.0,-31.0,0.0
-60.0,-92.0,-18.0,9.0,15.0,25.0,83.0,16.0,24.0,10.0,0.0
-90.0,-216.0,-67.0,22.0,14.0,30.0,127.0,8.0,28.0,26.0,0.0
-106.0,-292.0,-90.0,15.0,1.0,42.0,158.0,-4.0,9.0,34.0,0.0
-79.0,-306.0,-95.0,15.0,0.0,25.0,169.0,-11.0,54.0,50.0,0.0
-66.0,-340.0,-100.0,26.0,1.0,26.0,169.0,-1.0,97.0,51.0,0.0
-80.0,-440.0,-155.0,2.0,26.0,35.0,153.0,21.0,100.0,58.0,0.0
-64.0,-520.0,-190.0,-53.0,15.0,36.0,110.0,30.0,62.0,59.0,0.0
5.0,-281.0,-31.0,-102.0,-80.0,-40.0,82.0,-52.0,-51.0,8.0,0.0
79.0,311.0,276.0,-101.0,-141.0,-106.0,57.0,-150.0,-156.0,-47.0,0.0
125.0,890.0,469.0,-44.0,-104.0,-89.0,44.0,-138.0,-125.0,-45.0,0.0
86.0,865.0,353.0,-7.0,-51.0,-39.0,24.0,-94.0,-69.0,-18.0,0.0
23.0,404.0,141.0,-23.0,-33.0,1.0,-3.0,-53.0,-50.0,-7.0,0.0
-7.0,115.0,16.0,-37.0,-28.0,14.0,-23.0,-48.0,-22.0,-28.0,0.0
-14.0,29.0,-6.0,-20.0,-16.0,6.0,-24.0,-50.0,4.0,-35.0,0.0
-22.0,-57.0,-34.0,-4.0,-9.0,21.0,-32.0,-38.0,0.0,-26.0,0.0
-28.0,-191.0,-103.0,10.0,0.0,40.0,-60.0,-27.0,0.0,-27.0,0.0
-44.0,-274.0,-137.0,50.0,7.0,46.0,-91.0,-38.0,-9.0,-46.0,0.0
-41.0,-218.0,-102.0,73.0,-9.0,19.0,-118.0,-53.0,-61.0,-65.0,0.0
-23.0,14.0,-69.0,51.0,-18.0,6.0,-127.0,-42.0,-54.0,-59.0,0.0
-6.0,135.0,-63.0,17.0,-24.0,26.0,-120.0,-2.0,-16.0,-18.0,0.0
-8.0,67.0,-84.0,11.0,-3.0,30.0,-147.0,42.0,49.0,0.0,0.0
-25.0,-59.0,-94.0,39.0,19.0,58.0,-164.0,80.0,86.0,-1.0,0.0
-21.0,-151.0,-148.0,38.0,4.0,56.0,-178.0,83.0,121.0,5.0,0.0
-17.0,-106.0,-134.0,-14.0,-13.0,44.0,-198.0,79.0,165.0,16.0,0.0
-14.0,55.0,-48.0,-33.0,-22.0,39.0,-200.0,73.0,143.0,3.0,0.0
-3.0,106.0,-115.0,-16.0,-25.0,35.0,-219.0,38.0,122.0,-21.0,0.0
-34.0,-38.0,-234.0,-22.0,-45.0,17.0,-245.0,-1.0,51.0,-41.0,0.0
-62.0,-68.0,-80.0,-59.0,-103.0,-52.0,-265.0,-78.0,-52.0,-84.0,0.0
-65.0,-74.0,122.0,-94.0,-140.0,-85.0,-277.0,-101.0,-112.0,-96.0,0.0
-38.0,-102.0,232.0,-72.0,-134.0,-80.0,-261.0,-73.0,-104.0,-59.0,0.0
-11.0,-18.0,310.0,-63.0,-139.0,-97.0,-251.0,-63.0,-100.0,-34.0,0.0
13.0,149.0,312.0,-42.0,-113.0,-80.0,-237.0,-54.0,-93.0,-17.0,0.0
21.0,64.0,4.0,-35.0,-48.0,-41.0,-228.0,-11.0,-61.0,3.0,0.0
28.0,-171.0,-241.0,-30.0,-20.0,-4.0,-203.0,19.0,-22.0,26.0,0.0
-3.0,-313.0,-228.0,-45.0,-27.0,2.0,-155.0,12.0,11.0,23.0,0.0
0.0,-161.0,-44.0,-63.0,-72.0,-36.0,-99.0,-14.0,38.0,8.0,0.0
42.0,134.0,34.0,-104.0,-132.0,-64.0,-86.0,-28.0,4.0,-3.0,0.0
61.0,240.0,14.0,-107.0,-144.0,-54.0,-102.0,-20.0,-7.0,10.0,0.0
10.0,-34.0,-43.0,-78.0,-96.0,-21.0,-148.0,1.0,-1.0,7.0,0.0
-29.0,-274.0,-78.0,-64.0,-61.0,-28.0,-206.0,0.0,19.0,-20.0,0.0
-25.0,-257.0,2.0,-79.0,-97.0,-89.0,-291.0,-58.0,8.0,-66.0,0.0
6.0,19.0,132.0,-92.0,-129.0,-116.0,-366.0,-114.0,-53.0,-88.0,0.0
58.0,500.0,226.0,-62.0,-115.0,-71.0,-400.0,-102.0,-79.0,-64.0,0.0
70.0,694.0,236.0,-28.0,-78.0,-22.0,-416.0,-55.0,-44.0,-35.0,0.0
22.0,487.0,152.0,-11.0,-61.0,20.0,-443.0,-29.0,-80.0,-26.0,0.0
-11.0,243.0,52.0,-20.0,-76.0,37.0,-439.0,-8.0,-84.0,-21.0,0.0
-30.0,124.0,60.0,-8.0,-78.0,53.0,-446.0,-8.0,-58.0,-32.0,0.0
-58.0,60.0,80.0,39.0,-59.0,57.0,-490.0,-16.0,-46.0,-30.0,0.0
-68.0,-58.0,-32.0,62.0,-31.0,72.0,-513.0,5.0,-15.0,-14.0,0.0
-59.0,-201.0,-149.0,69.0,-24.0,88.0,-538.0,26.0,20.0,11.0,0.0
-63.0,-314.0,-190.0,75.0,-26.0,96.0,-594.0,47.0,39.0,24.0,0.0
-73.0,-441.0,-174.0,69.0,-11.0,101.0,-627.0,65.0,40.0,27.0,0.0
-86.0,-609.0,-259.0,52.0,10.0,118.0,-656.0,83.0,3.0,31.0,0.0
-71.0,-738.0,-356.0,38.0,32.0,130.0,-700.0,101.0,-2.0,35.0,0.0
-2.0,-640.0,-354.0,0.0,-13.0,79.0,-733.0,48.0,-48.0,5.0,0.0
46.0,-101.0,-172.0,-15.0,-67.0,1.0,-793.0,-37.0,-109.0,-54.0,0.0
63.0,448.0,-36.0,21.0,-46.0,-13.0,-866.0,-57.0,-132.0,-75.0,0.0
35.0,453.0,-105.0,41.0,-24.0,-4.0,-937.0,-23.0,-51.0,-56.0,0.0
-1.0,375.0,79.0,41.0,-76.0,-49.0,-1028.0,-64.0,0.0,-75.0,0.0
-12.0,485.0,435.0,47.0,-124.0,-117.0,-1125.0,-143.0,-71.0,-119.0,0.0
16.0,622.0,583.0,82.0,-79.0,-93.0,-1176.0,-119.0,-63.0,-91.0,0.0
14.0,420.0,434.0,103.0,-10.0,-6.0,-1198.0,-62.0,-63.0,-60.0,0.0
-19.0,181.0,194.0,97.0,16.0,16.0,-1227.0,-50.0,-88.0,-72.0,0.0
-25.0,61.0,1.0,59.0,-25.0,-7.0,-1248.0,-48.0,-105.0,-82.0,0.0
6.0,20.0,-126.0,3.0,-56.0,-12.0,-1300.0,-25.0,-82.0,-23.0,0.0
32.0,25.0,-148.0,-26.0,-59.0,-20.0,-1328.0,-2.0,-14.0,34.0,0.0
25.0,-22.0,-68.0,-11.0,-40.0,-19.0,-1336.0,4.0,-10.0,22.0,0.0
1.0,-55.0,-50.0,27.0,-8.0,-10.0,-1351.0,24.0,9.0,3.0,0.0
-8.0,-99.0,-42.0,55.0,2.0,2.0,-1363.0,18.0,-10.0,-4.0,0.0
-13.0,-125.0,-54.0,88.0,0.0,0.0,-1372.0,16.0,-21.0,-6.0,0.0
-15.0,-145.0,-194.0,114.0,22.0,7.0,-1390.0,27.0,21.0,-5.0,0.0
-18.0,-211.0,-287.0,99.0,38.0,33.0,-1408.0,45.0,38.0,-6.0,0.0
-23.0,-202.0,-171.0,76.0,-3.0,-16.0,-1438.0,19.0,-19.0,-15.0,0.0
-39.0,-77.0,5.0,43.0,-50.0,-79.0,-1477.0,-62.0,-94.0,-52.0,0.0
-29.0,7.0,60.0,32.0,-20.0,-62.0,-1479.0,-49.0,-53.0,-22.0,0.0
-12.0,-47.0,25.0,25.0,30.0,3.0,-1458.0,27.0,44.0,38.0,0.0
-5.0,-199.0,4.0,11.0,52.0,24.0,-1434.0,61.0,79.0,64.0,0.0
-6.0,-335.0,-71.0,23.0,45.0,0.0,-1370.0,58.0,109.0,69.0,0.0
-31.0,-473.0,-187.0,42.0,28.0,-17.0,-1280.0,30.0,73.0,42.0,0.0
-60.0,-600.0,-255.0,43.0,26.0,-32.0,-1196.0,16.0,17.0,12.0,0.0
-66.0,-739.0,-356.0,38.0,62.0,3.0,-1121.0,61.0,115.0,29.0,0.0
-59.0,-843.0,-431.0,16.0,61.0,8.0,-1071.0,70.0,129.0,14.0,0.0
-37.0,-662.0,-280.0,-9.0,-14.0,-73.0,-1045.0,-9.0,43.0,-48.0,0.0
12.0,-140.0,15.0,-14.0,-66.0,-130.0,-981.0,-77.0,-43.0,-88.0,0.0
57.0,547.0,192.0,33.0,-44.0,-90.0,-881.0,-73.0,-100.0,-89.0,0.0
78.0,704.0,195.0,62.0,1.0,-29.0,-797.0,-20.0,-78.0,-56.0,0.0
53.0,558.0,259.0,56.0,-4.0,-58.0,-768.0,-44.0,-122.0,-99.0,0.0
-2.0,375.0,249.0,-3.0,-77.0,-140.0,-744.0,-126.0,-190.0,-164.0,0.0
10.0,385.0,300.0,-75.0,-155.0,-192.0,-710.0,-182.0,-209.0,-186.0,0.0
64.0,640.0,401.0,-64.0,-138.0,-187.0,-662.0,-173.0,-173.0,-164.0,0.0
96.0,811.0,314.0,-22.0,-65.0,-133.0,-627.0,-135.0,-142.0,-132.0,0.0
80.0,698.0,183.0,-37.0,-37.0,-100.0,-613.0,-105.0,-105.0,-79.0,0.0
63.0,434.0,93.0,-89.0,-39.0,-63.0,-600.0,-47.0,-16.0,-13.0,0.0
59.0,293.0,77.0,-148.0,-27.0,-43.0,-578.0,-13.0,80.0,8.0,0.0
40.0,245.0,83.0,-174.0,-15.0,-56.0,-548.0,-28.0,83.0,1.0,1.0
8.0,177.0,74.0,-207.0,12.0,-58.0,-517.0,-20.0,50.0,21.0,1.0
7.0,118.0,61.0,-177.0,-24.0,-68.0,-498.0,-10.0,27.0,51.0,1.0
2.0,101.0,105.0,107.0,11.0,-83.0,-487.0,-27.0,0.0,54.0,1.0
-1.0,74.0,92.0,281.0,89.0,-67.0,-481.0,-20.0,-8.0,69.0,1.0
-28.0,24.0,29.0,227.0,130.0,-28.0,-497.0,-25.0,-68.0,54.0,1.0
-63.0,-33.0,-63.0,171.0,185.0,-6.0,-492.0,-31.0,-111.0,33.0,1.0
-89.0,-82.0,-145.0,111.0,159.0,-56.0,-483.0,-48.0,-130.0,5.0,1.0
-107.0,-103.0,-200.0,103.0,84.0,-112.0,-466.0,-70.0,-120.0,-10.0,1.0
-112.0,-98.0,-172.0,154.0,61.0,-138.0,-453.0,-69.0,-83.0,-13.0,1.0
-99.0,-76.0,-126.0,287.0,98.0,-109.0,-443.0,-38.0,1.0,5.0,1.0
-31.0,-81.0,-180.0,151.0,79.0,-88.0,-448.0,15.0,39.0,69.0,1.0
34.0,-83.0,-186.0,-204.0,-43.0,-108.0,-487.0,34.0,45.0,138.0,1.0
57.0,-57.0,-235.0,-294.0,-114.0,-113.0,-540.0,46.0,44.0,158.0,1.0
19.0,-70.0,-240.0,63.0,-42.0,-77.0,-583.0,23.0,5.0,121.0,1.0
-57.0,-83.0,-121.0,513.0,82.0,-40.0,-634.0,-5.0,-16.0,53.0,1.0
-108.0,-123.0,-12.0,455.0,126.0,-54.0,-669.0,-28.0,-27.0,19.0,1.0
-130.0,-155.0,179.0,201.0,56.0,-107.0,-698.0,-65.0,-109.0,-5.0,1.0
-113.0,-89.0,265.0,13.0,-13.0,-157.0,-716.0,-92.0,-149.0,-24.0,0.0
-83.0,-37.0,150.0,-146.0,-29.0,-161.0,-730.0,-78.0,-124.0,-24.0,0.0
-53.0,-106.0,-246.0,-294.0,21.0,-114.0,-757.0,-19.0,-14.0,10.0,0.0
7.0,-182.0,-515.0,-388.0,59.0,-47.0,-772.0,60.0,139.0,90.0,0.0
45.0,-210.0,-589.0,-420.0,6.0,-31.0,-807.0,102.0,200.0,156.0,0.0
84.0,-105.0,-494.0,-334.0,-88.0,-61.0,-845.0,92.0,187.0,174.0,0.0
105.0,91.0,-308.0,-214.0,-149.0,-94.0,-916.0,73.0,137.0,145.0,0.0
56.0,104.0,-230.0,-175.0,-118.0,-125.0,-1035.0,53.0,88.0,118.0,0.0
-1.0,-37.0,-231.0,-209.0,-56.0,-119.0,-1142.0,15.0,13.0,75.0,0.0
-19.0,-112.0,-258.0,-241.0,-22.0,-123.0,-1233.0,-15.0,-59.0,43.0,0.0
0.0,-98.0,-232.0,-196.0,-40.0,-113.0,-1353.0,-21.0,-64.0,49.0,0.0
-4.0,-110.0,-166.0,-106.0,-50.0,-90.0,-1492.0,-17.0,-44.0,49.0,0.0
-12.0,-136.0,-178.0,-94.0,-23.0,-65.0,-1632.0,-16.0,13.0,31.0,0.0
-1.0,-134.0,-189.0,-152.0,-21.0,-54.0,-1776.0,-9.0,42.0,44.0,0.0
9.0,-69.0,-199.0,-233.0,-62.0,-60.0,-1916.0,-19.0,-16.0,66.0,0.0
23.0,144.0,-65.0,-202.0,-49.0,-58.0,-2096.0,-51.0,-56.0,69.0,0.0
4.0,194.0,-22.0,-38.0,69.0,-43.0,-2286.0,-58.0,-68.0,75.0,0.0
-24.0,51.0,-182.0,-43.0,120.0,-29.0,-2449.0,-34.0,-49.0,72.0,0.0
-44.0,-57.0,-238.0,-145.0,64.0,-22.0,-2603.0,-27.0,-62.0,77.0,0.0
-46.0,-74.0,-100.0,-76.0,38.0,-39.0,-2732.0,-37.0,-93.0,67.0,0.0
-6.0,-37.0,63.0,137.0,27.0,-43.0,-2819.0,-47.0,-111.0,63.0,0.0
32.0,38.0,121.0,206.0,10.0,-34.0,-2853.0,-47.0,-51.0,83.0,0.0
61.0,74.0,7.0,93.0,-35.0,-43.0,-2867.0,-33.0,23.0,103.0,0.0
35.0,56.0,-72.0,40.0,-70.0,-60.0,-2897.0,-31.0,50.0,85.0,0.0
9.0,-4.0,-33.0,-2.0,-100.0,-65.0,-2942.0,-36.0,26.0,64.0,0.0
-10.0,-57.0,5.0,-37.0,-101.0,-54.0,-2951.0,-33.0,-28.0,50.0,0.0
-6.0,-74.0,-47.0,22.0,-7.0,-31.0,-2968.0,-19.0,-51.0,43.0,0.0
5.0,-78.0,-72.0,95.0,45.0,-14.0,-3015.0,-7.0,-3.0,50.0,0.0
0.0,-100.0,-94.0,139.0,56.0,8.0,-3043.0,-12.0,-20.0,45.0,0.0
20.0,-130.0,-167.0,204.0,89.0,13.0,-3022.0,-2.0,-55.0,68.0,0.0
